Journal,Quartile,IF
aci materials journal,Q3,1.5
aci structural journal,Q4,1.1
acm communications in computer algebra,Q4,0.3
acm computing surveys,Q1,30.4
acm journal of data and information quality,Q2,5
acm journal on computing and cultural heritage,Q3,3.1
acm journal on emerging technologies in computing systems,Q3,2.3
acm sigcomm computer communication review,Q2,3.5
acm sigecom exchanges,Q4,0.9
acm transactions on accessible computing,Q2,3.6
acm transactions on algorithms,Q2,1.4
acm transactions on applied perception,Q2,2.5
acm transactions on architecture and code optimization,Q2,2.9
acm transactions on asian and low resource language information processing,Q3,2.7
acm transactions on autonomous and adaptive systems,Q1,5.2
acm transactions on computation theory,Q4,0.8
acm transactions on computational logic,Q1,1.1
acm transactions on computer human interaction,Q1,9.6
acm transactions on computer systems,Q2,1.9
acm transactions on computing education,Q1,4
acm transactions on computing for healthcare,Q2,4
acm transactions on cyber physical systems,Q3,3.3
acm transactions on database systems,Q3,1.6
acm transactions on design automation of electronic systems,Q2,2.8
acm transactions on economics and computation,Q4,1.3
acm transactions on embedded computing systems,Q2,3.6
acm transactions on graphics,Q1,13
acm transactions on human robot interaction,Q1,7
acm transactions on information systems,Q1,11.2
acm transactions on intelligent systems and technology,Q1,10.7
acm transactions on interactive intelligent systems,Q1,6.4
acm transactions on internet of things,Q2,4.3
acm transactions on internet technology,Q1,5.1
acm transactions on knowledge discovery from data,Q1,6.9
acm transactions on management information systems,Q2,5.2
acm transactions on mathematical software,Q1,2
acm transactions on modeling and computer simulation,Q2,1.4
acm transactions on modeling and performance evaluation of computing systems,Q3,1.7
acm transactions on multimedia computing communications and applications,Q1,5.6
acm transactions on parallel computing,Q3,1.7
acm transactions on privacy and security,Q2,4
acm transactions on programming languages and systems,Q2,2.9
acm transactions on quantum computing,Q1,6.1
acm transactions on reconfigurable technology and systems,Q3,3
acm transactions on sensor networks,Q2,4.7
acm transactions on software engineering and methodology,Q1,6.9
acm transactions on spatial algorithms and systems,Q3,2.9
acm transactions on storage,Q2,3.6
acm transactions on the web,Q1,4.9
acme annali della facolta di studi umanistici dell universita degli studi di milano,,<0.1
acoustical physics,Q4,0.9
acoustical science and technology,Q4,0.9
acoustics,Q3,1.5
acoustics australia,Q3,1.3
acque sotterranee italian journal of groundwater,Q4,1.7
acr open rheumatology,Q2,2.9
across languages and cultures,Q3,0.9
acs agricultural science technology,Q2,3.4
acs applied bio materials,Q2,5.6
acs applied electronic materials,Q2,4.7
acs applied energy materials,Q2,5.5
acs applied engineering materials,Q3,3.5
acs applied materials interfaces,Q1,7.8
acs applied nano materials,Q2,5.8
acs applied optical materials,Q2,3.4
acs applied polymer materials,Q1,5.2
acs bio med chem au,Q2,3.5
acs biomaterials science engineering,Q2,6
acs catalysis,Q1,13.6
acs central science,Q1,11.1
acs chemical biology,Q2,3.6
acs chemical health safety,Q1,3.8
acs chemical neuroscience,Q2,4.5
acs earth and space chemistry,Q2,2.6
acs energy letters,Q1,17.5
acs engineering au,Q1,9
acs environmental au,Q1,9.6
acs es t engineering,Q2,6.3
acs es t water,Q1,4.5
acs food science technology,Q3,3
acs infectious diseases,Q1,4.5
acs macro letters,Q2,4.9
acs materials au,Q1,9.1
acs materials letters,Q1,8.6
acs measurement science au,Q1,14.7
acs medicinal chemistry letters,Q2,3.9
acs nano,Q1,17.3
acs nanoscience au,Q2,7.5
acs omega,Q2,5.2
acs organic inorganic au,Q2,5.2
acs pharmacology translational science,Q2,4
acs photonics,Q1,6
acs physical chemistry au,Q2,4.8
acs polymers au,Q1,6.7
acs sensors,Q1,10.9
acs sustainable chemistry engineering,Q1,7.6
acs synthetic biology,Q1,4.5
acsms health fitness journal,Q3,1.9
acta acustica,Q3,1.4
acta adriatica,Q3,1.3
acta agriculturae scandinavica section a animal science,Q3,1.5
acta agriculturae scandinavica section b soil and plant science,Q3,1.6
acta agrobotanica,Q4,0.8
acta alimentaria,Q3,1.8
acta amazonica,Q2,1.6
acta anaesthesiologica belgica,Q4,0.4
acta anaesthesiologica scandinavica,Q2,1.9
acta analytica international periodical for philosophy in the analytical tradition,,0.4
acta angiologica,Q4,0.4
acta applicandae mathematicae,Q2,1.3
acta archaeologica,,0.6
acta arithmetica,Q3,0.5
acta astronautica,Q1,3.7
acta astronomica,Q3,1.4
acta balneologica,Q4,0.6
acta baltico slavica,,<0.1
acta biochimica et biophysica sinica,Q1,4.5
acta biochimica polonica,Q4,2.2
acta bioclinica,Q4,0.1
acta bioethica,Q4,0.2
acta biologica colombiana,Q4,0.4
acta biomaterialia,Q1,10.4
acta bioquimica clinica latinoamericana,Q4,<0.1
acta biotheoretica,Q4,1.3
acta borealia,,1
acta botanica brasilica,Q3,1.3
acta botanica croatica,Q4,1
acta botanica mexicana,Q3,1.1
acta cardiologica,Q2,4
acta cardiologica sinica,Q3,1.9
acta carsologica,Q4,0.6
acta chemica iasi,Q4,0.4
acta chimica sinica,Q3,2.3
acta chimica slovaca,Q4,1
acta chimica slovenica,Q4,1.2
acta chiropterologica,Q2,1.5
acta chirurgiae orthopaedicae et traumatologiae cechoslovaca,Q4,0.6
acta chirurgica belgica,Q4,0.9
acta chromatographica,Q4,1.2
acta cirurgica brasileira,Q3,1.6
acta classica,,<0.1
acta clinica belgica,Q2,1.4
acta clinica croatica,Q3,0.5
acta colombiana de psicologia,Q4,0.7
acta crystallographica a foundation and advances,Q3,2.1
acta crystallographica section b structural science crystal engineering and materials,Q2,2.5
acta crystallographica section c structural chemistry,Q3,1.1
acta crystallographica section d structural biology,Q1,4.3
acta crystallographica section e crystallographic communications,Q4,0.5
acta crystallographica section f structural biology communications,Q3,1.1
acta cybernetica,Q4,0.7
acta cytologica,Q3,1.5
acta dermato venereologica,Q1,3.8
acta dermatovenerologica alpina pannonica et adriatica,Q4,1
acta dermatovenerologica croatica,Q4,0.6
acta diabetologica,Q3,3.1
acta ecologica sinica,Q1,14.2
acta endocrinologica bucharest,Q4,0.8
acta entomologica musei nationalis pragae,Q3,0.8
acta epileptologica,Q3,2.6
acta et commentationes universitatis tartuensis de mathematica,Q3,0.5
acta ethologica,Q2,1.3
acta facultatis medicae naissensis,Q4,0.1
acta facultatis xylologiae zvolen,Q4,0.7
acta gastro enterologica belgica,Q4,1.2
acta geochimica,Q3,1.4
acta geodaetica et geophysica,Q2,2.6
acta geodynamica et geomaterialia,Q4,0.9
acta geographica slovenica geografski zbornik,Q3,1.6
acta geologica polonica,Q3,0.9
acta geologica sinica english edition,Q3,2.1
acta geophysica,Q2,2.4
acta geotechnica,Q1,6.5
acta germanica german studies in africa,,0.1
acta gymnica,Q4,0.9
acta haematologica,Q2,2.8
acta haematologica polonica,Q4,0.6
acta herpetologica,Q3,1
acta histochemica,Q3,2.9
acta histochemica et cytochemica,Q4,1.9
acta historica tallinnensia,Q1,0.5
acta historica universitatis klaipedensis,Q3,0.1
acta histriae,Q2,0.4
acta ichthyologica et piscatoria,Q2,1.3
acta imeko,Q4,0.9
acta infologica,Q4,0.6
acta informatica,Q4,1.2
acta informatica pragensia,Q2,1.5
acta kinesiologica,Q2,2.4
acta koreana,,0.2
acta linguistica academica,Q4,0.3
acta literaria,,0.1
acta logistica,Q4,1
acta materialia,Q1,10.7
acta mathematica,Q1,7.3
acta mathematica hungarica,Q3,0.6
acta mathematica scientia,Q2,1
acta mathematica sinica english series,Q2,0.9
acta mathematica universitatis comenianae,Q3,0.6
acta mathematica vietnamica,Q3,0.6
acta mathematicae applicatae sinica english series,Q3,0.9
acta mechanica,Q1,4
acta mechanica et automatica,Q4,1.3
acta mechanica sinica,Q1,4
acta mechanica solida sinica,Q2,2.6
acta medica indonesiana,Q3,0.6
acta medica lituanica,Q3,0.6
acta medica okayama,Q4,0.8
acta medica portuguesa,Q2,1.2
acta medico historica adriatica,Q4,0.1
acta metallurgica sinica,Q2,2.2
acta metallurgica sinica english letters,Q1,4.2
acta metallurgica slovaca,Q3,1.7
acta microbiologica et immunologica hungarica,Q4,1.5
acta montanistica slovaca,Q4,0.7
acta naturae,Q4,1.5
acta neophilologica,,0.1
acta neurobiologiae experimentalis,Q4,1.9
acta neurochirurgica,Q2,1.9
acta neurologica belgica,Q3,2
acta neurologica scandinavica,Q4,1.1
acta neuropathologica,Q1,10.3
acta neuropathologica communications,Q1,6.5
acta neuropsychiatrica,Q3,2.4
acta neuropsychologica,Q4,1.2
acta numerica,Q1,12.8
acta obstetricia et gynecologica scandinavica,Q1,3.5
acta oceanologica sinica,Q4,1.4
acta odontologica scandinavica,Q3,1.7
acta oecologica international journal of ecology,Q3,1.8
acta oeconomica,Q4,0.4
acta of bioengineering and biomechanics,Q4,1
acta oncologica,Q3,2.7
acta ophthalmologica,Q2,3
acta optica sinica,Q3,1.7
acta orientalia academiae scientiarum hungaricae,Q3,0.2
acta ornithologica,Q2,1.2
acta orthopaedica,Q1,3.4
acta orthopaedica belgica,Q4,0.7
acta orthopaedica et traumatologica turcica,Q3,1.7
acta ortopedica brasileira,Q4,0.6
acta oto laryngologica,Q3,1.3
acta oto laryngologica case reports,Q4,0.2
acta otorhinolaryngologica italica,Q1,2.2
acta otorrinolaringologica espanola,Q3,1.2
acta paediatrica,Q2,1.8
acta palaeontologica polonica,Q2,1.8
acta parasitologica,Q2,1.5
acta paulista de enfermagem,Q4,0.9
acta pediatrica de mexico,Q4,0.2
acta petrologica sinica,Q1,2.5
acta pharmaceutica,Q3,1.8
acta pharmaceutica sinica b,Q1,14.6
acta pharmacologica sinica,Q1,10.4
acta philosophica,,0.2
acta phlebologica,Q4,0.2
acta photonica sinica,Q4,0.7
acta physica polonica a,Q4,0.5
acta physica polonica b,Q3,1
acta physica sinica,Q3,1
acta physico chimica sinica,Q1,13.5
acta physiologiae plantarum,Q2,2.3
acta physiologica,Q1,5.7
acta phytotaxonomica et geobotanica,Q4,0.4
acta poetica,,0.1
acta politica,Q2,1.9
acta poloniae historica,Q2,0.3
acta poloniae pharmaceutica,Q4,0.6
acta polymerica sinica,Q4,1.2
acta polytechnica,Q4,0.7
acta polytechnica hungarica,Q2,2.2
acta protozoologica,Q4,0.8
acta psiquiatrica y psicologica de america latina,Q4,0.1
acta psychiatrica scandinavica,Q1,4.7
acta psychologica,Q1,3.8
acta psychologica sinica,Q2,1.9
acta radiologica,Q4,1.2
acta radiologica open,Q4,0.9
acta scientiae veterinariae,Q4,0.2
acta scientiarum agronomy,Q3,1.2
acta scientiarum health sciences,Q4,0.4
acta scientiarum mathematicarum,Q3,0.7
acta scientiarum polonorum formatio circumiectus,Q3,0.9
acta scientiarum polonorum hortorum cultus,Q4,1
acta scientiarum polonorum technologia alimentaria,Q4,0.7
acta scientiarum technology,Q4,0.6
acta silvae et ligni,Q4,0.3
acta societatis botanicorum poloniae,Q3,1.1
acta sociologica,Q2,2.1
acta stomatologica croatica,Q3,1.8
acta structilia,Q4,1.2
acta technica napocensis series applied mathematics mechanics and engineering,Q4,0.1
acta technologica agriculturae,Q3,1.4
acta theologica,,0.2
acta tropica,Q2,2.6
acta turistica,Q4,0.4
acta universitatis carolinae theologica,,<0.1
acta universitatis lodziensis folia archaeologica,,<0.1
acta universitatis lodziensis folia iuridica,Q4,0.1
acta universitatis lodziensis folia litteraria polonica,,0.1
acta universitatis lodziensis folia litteraria romanica,,<0.1
acta universitatis sapientiae film and media studies,,0.2
acta universitatis sapientiae informatica,Q4,0.7
acta universitatis sapientiae mathematica,Q3,0.6
acta veterinaria beograd,Q3,0.9
acta veterinaria brno,Q4,0.7
acta veterinaria eurasia,Q4,0.6
acta veterinaria hungarica,Q3,1
acta veterinaria scandinavica,Q2,2
acta virologica,Q4,1.1
acta zoologica,Q3,1.1
acta zoologica academiae scientiarum hungaricae,Q3,0.9
acta zoologica bulgarica,Q4,0.5
actas dermo sifiliograficas,Q2,2.9
actas espanolas de psiquiatria,Q3,2.1
actas urologicas espanolas,Q3,1.7
actes de la recherche en sciences sociales,Q3,0.5
action learning,,N/A
action research,Q2,1.8
active and passive electronic components,Q4,1.6
active learning in higher education,Q1,3.4
activitas nervosa superior rediviva,Q4,0.2
activites revue electronique,Q4,0.3
activities adaptation aging,Q3,1.6
actualidad contable faces,Q4,<0.1
actualidad juridica ambiental,Q2,0.6
actualidades en psicologia,Q4,0.2
actualidades pedagogicas,Q4,<0.1
actualites pharmaceutiques,Q4,0.1
actualizaciones en osteologia,Q4,<0.1
actuators,Q2,2.4
acupuncture and herbal medicine,Q1,7.3
acupuncture electro therapeutics research,Q4,0.3
acupuncture in medicine,Q2,2.7
acute and critical care,Q3,2.3
acute medicine surgery,Q2,1.4
ad hoc networks,Q1,5.4
ad hoc sensor wireless networks,Q4,0.4
ad minister,Q4,0.4
adalya,,0.3
adansonia,Q4,0.8
adaptation the journal of literature on screen studies,,0.2
adapted physical activity quarterly,Q1,2.6
adaptive behavior,Q2,1.6
adaptive human behavior and physiology,Q3,1.6
adcaij advances in distributed computing and artificial intelligence journal,Q4,1.2
adcomunica revista cientifica de estrategias tendencias e innovacion en communicacion,Q4,0.4
addicta the turkish journal on addictions,Q4,0.7
addiction,Q1,5.9
addiction biology,Q2,2.6
addiction neuroscience,Q3,2.4
addiction research theory,Q1,2.9
addiction science clinical practice,Q2,2.6
addictive behaviors,Q1,4.1
addictive behaviors reports,Q1,3.3
additive manufacturing,Q1,11.3
additive manufacturing letters,Q2,5.2
adelaide law review,Q3,0.3
adicciones,Q4,1.2
adipocyte,Q3,3.3
admet and dmpk,Q1,5.1
administracao ensino e pesquisa,Q4,0.2
administracao publica e gestao social,Q4,0.2
administration,Q4,0.3
administration and policy in mental health and mental health services research,Q2,2.6
administration society,Q3,1.9
administrative science quarterly,Q1,7.9
administrative sciences,Q2,3.9
adolescent psychiatry,Q4,0.3
adolescent research review,Q1,8.3
adolescents,Q3,1.7
adoption and fostering,Q3,1
adoption quarterly,Q3,1.1
adsorption journal of the international adsorption society,Q3,3.3
adsorption science technology,Q3,2.5
adult education quarterly,Q2,1.6
adult learning,Q2,2.3
adultspan journal,Q4,0.6
advanced agrochem,Q1,9.2
advanced biology,Q3,3.2
advanced biomedical engineering,Q4,0.7
advanced biomedical research,Q4,1.1
advanced biotechnology,Q1,8.8
advanced composite materials,Q3,2.7
advanced composites and hybrid materials,Q1,15.5
advanced devices instrumentation,Q1,6
advanced drug delivery reviews,Q1,21
advanced education,Q3,0.7
advanced electromagnetics,Q4,1.2
advanced electronic materials,Q1,5.9
advanced emergency nursing journal,Q4,0.6
advanced energy and sustainability research,Q2,6.4
advanced energy materials,Q1,25.5
advanced engineering informatics,Q1,11.5
advanced engineering materials,Q3,3.6
advanced fiber materials,Q1,22.6
advanced functional materials,Q1,19.9
advanced healthcare materials,Q1,11
advanced industrial and engineering polymer research,Q1,18.4
advanced intelligent systems,Q1,6.7
advanced manufacturing polymer composites science,Q3,3.3
advanced materials,Q1,29.1
advanced materials interfaces,Q2,4.5
advanced materials technologies,Q2,6
advanced membranes,Q1,12.6
advanced modeling and simulation in engineering sciences,Q1,4.1
advanced nanobiomed research,Q2,4.8
advanced nonlinear studies,Q1,2.3
advanced optical materials,Q1,7.2
advanced optical technologies,Q2,3.2
advanced pharmaceutical bulletin,Q1,4.7
advanced photonics,Q1,19.5
advanced photonics nexus,Q1,6.3
advanced photonics research,Q2,4
advanced physics research,Q2,3.4
advanced powder materials,Q1,26.8
advanced powder technology,Q2,4.5
advanced quantum technologies,Q2,4.3
advanced robotics,Q4,1.7
advanced science,Q1,14.1
advanced sensor and energy materials,Q1,12.3
advanced sensor research,Q1,5
advanced steel construction,Q3,1.4
advanced studies euro tbilisi mathematical journal,Q4,0.4
advanced sustainable systems,Q2,5.6
advanced synthesis catalysis,Q1,3.7
advanced theory and simulations,Q2,3.2
advanced therapeutics,Q2,3.2
advancements of microbiology,Q4,0.7
advances and applications in discrete mathematics,Q4,0.4
advances and applications in statistics,Q4,0.3
advances in accounting,Q3,1.1
advances in aerodynamics,Q2,3.2
advances in agriculture,Q1,3.4
advances in aircraft and spacecraft science,Q4,0.7
advances in anatomic pathology,Q2,2.8
advances in applied ceramics,Q3,1.6
advances in applied clifford algebras,Q3,1
advances in applied energy,Q1,18.3
advances in applied mathematics,Q2,1.2
advances in applied mathematics and mechanics,Q3,0.8
advances in applied probability,Q3,1
advances in archaeological practice,,1.8
advances in artificial intelligence and machine learning,Q4,0.8
advances in astronomy,Q4,0.9
advances in atmospheric sciences,Q1,5
advances in autism,Q4,1
advances in bamboo science,Q1,3.9
advances in biological regulation,Q3,2.7
advances in bridge engineering,Q3,2.4
advances in building energy research,Q2,2.7
advances in calculus of variations,Q1,1.5
advances in cancer biology metastasis,Q2,4.2
advances in cement research,Q3,2.3
advances in civil and architectural engineering,Q4,0.9
advances in civil engineering,Q3,1.8
advances in civil engineering materials,Q4,1.6
advances in climate change research,Q1,5.6
advances in clinical and experimental medicine,Q3,2.5
advances in cognitive psychology,Q4,0.9
advances in colloid and interface science,Q1,23.7
advances in complex systems,Q3,1.1
advances in computational design an international journal,Q4,0.7
advances in computational mathematics,Q1,2.6
advances in concrete construction,Q3,1.7
advances in condensed matter physics,Q2,3.1
advances in continuous and discrete models,Q1,1.6
advances in data analysis and classification,Q1,2.1
advances in data science and adaptive analysis,Q4,0.6
advances in developing human resources,Q2,2.1
advances in differential equations,Q1,1.4
advances in differential equations and control processes,Q2,1.2
advances in digestive medicine,Q4,0.5
advances in dual diagnosis,Q4,0.7
advances in electrical and computer engineering,Q4,0.9
advances in electrical and electronic engineering,Q4,1.3
advances in energy research,Q4,2
advances in engineering software,Q1,6.3
advances in environmental research an international journal,Q4,0.5
advances in fuzzy systems,Q1,1.9
advances in geo energy research,Q1,11.2
advances in geodesy and geoinformation,Q4,0.6
advances in geometry,Q2,0.8
advances in gerontology,Q4,1.3
advances in group theory and applications,Q3,0.5
advances in health sciences education,Q1,3.4
advances in high energy physics,Q4,1
advances in hospitality and tourism research ahtr,Q3,1.7
advances in human biology,Q4,0.9
advances in human computer interaction,Q3,2.4
advances in industrial and manufacturing engineering,Q1,6.1
advances in integrative medicine,Q3,1.4
advances in kidney disease and health,Q2,3.1
advances in laboratory medicine avances en medicina de laboratorio,Q3,1.4
advances in life course research,Q1,3
advances in manufacturing,Q2,3.9
advances in materials and processing technologies,Q3,2.3
advances in materials research an international journal,Q4,1.6
advances in materials science,Q4,1.9
advances in mathematical physics,Q3,1.4
advances in mathematics,Q1,1.7
advances in mathematics of communications,Q3,0.8
advances in mechanical engineering,Q2,2.3
advances in medical education and practice,Q2,1.9
advances in medical sciences,Q3,2.5
advances in mental health,Q3,1.8
advances in mental health and intellectual disabilities,Q4,0.7
advances in meteorology,Q3,2.6
advances in methods and practices in psychological science,Q1,14.6
advances in multimedia,Q4,0.9
advances in nano research,Q2,3.7
advances in natural sciences nanoscience and nanotechnology,Q3,2.4
advances in neonatal care,Q3,1.6
advances in neurodevelopmental disorders,Q1,2
advances in nonlinear analysis,Q1,3.4
advances in nursing science,Q3,1.7
advances in nutrition,Q1,12.7
advances in operator theory,Q3,0.7
advances in ophthalmology practice and research,Q1,4.5
advances in optics and photonics,Q1,30.1
advances in orthopedics,Q3,1.5
advances in pharmacological and pharmaceutical sciences,Q2,2.9
advances in pharmacology and pharmacy,Q4,0.9
advances in physics,Q1,7
advances in physics x,Q1,9.9
advances in physiology education,Q2,1.9
advances in polymer technology,Q2,3.7
advances in production engineering management,Q3,3.2
advances in public health,Q3,1.7
advances in pure and applied mathematics,Q4,0.3
advances in radiation oncology,Q2,2.9
advances in radio science,Q4,0.9
advances in redox research,Q2,3.8
advances in rehabilitation science and practice,Q2,2.3
advances in respiratory medicine,Q1,4.5
advances in rheumatology,Q2,2.8
advances in sample preparation,Q1,6.6
advances in science and technology research journal,Q3,1.5
advances in simulation,Q2,3.6
advances in skin wound care,Q3,1.5
advances in space research,Q1,3.2
advances in structural engineering,Q2,2.5
advances in theoretical and mathematical physics,Q2,2.2
advances in therapy,Q1,4.7
advances in traditional medicine,Q4,1.4
advances in urology,Q4,0.6
advances in virology,Q3,2.1
advances in water resources,Q2,4.1
advances in weed science,Q3,1
advances in wound care,Q1,5.7
adversity and resilience science,Q2,2.1
aedos revista do corpo discente do programa de pos graduacao em historia da ufrgs,Q4,<0.1
aem education and training,Q3,1.6
aeolian research,Q2,3.2
aequationes mathematicae,Q2,0.9
aera open,Q1,2.8
aerobiologia,Q2,2.1
aeronautical journal,Q3,1.8
aerosol and air quality research,Q3,2.9
aerosol science and engineering,Q3,2.3
aerosol science and technology,Q3,2.2
aerospace,Q2,2.5
aerospace america,Q4,<0.1
aerospace medicine and human performance,Q4,0.8
aerospace research in bulgaria,Q4,0.4
aerospace science and technology,Q1,6.4
aerotecnica missili e spazio,Q3,1.5
aesthetic plastic surgery,Q1,2.7
aesthetic surgery journal,Q1,4.2
aesthetic surgery journal open forum,Q2,2.3
aestimum,,N/A
aeu international journal of electronics and communications,Q2,3.1
aevum rassegna di scienze storiche linguistiche e filologiche,,0.1
affective science,Q2,2.8
affilia feminist inquiry in social work,Q1,2.4
afghanistan,,0.2
afinidad,Q4,0.4
afkar jurnal akidah pemikiran islam journal of aqidah islamic thought,,0.5
africa,Q1,1.3
africa education review,Q4,0.5
africa journal of management,Q3,1.9
africa review,Q3,0.5
africa spectrum,Q1,1.8
african affairs,Q1,2.3
african american review,,<0.1
african and asian studies,Q2,1.2
african archaeological review,Q2,1.1
african arts,,0.4
african biodiversity conservation,,N/A
african development review revue africaine de developpement,Q2,2.1
african diaspora,Q4,0.3
african disability rights yearbook,Q4,0.2
african economic history,Q2,0.4
african entomology,Q3,0.9
african geographical review,Q2,1.7
african health sciences,Q3,0.9
african historical review,Q3,0.2
african invertebrates,Q3,0.8
african journal of accounting auditing and finance,Q4,0.6
african journal of agricultural and resource economics afjare,Q4,0.3
african journal of aquatic science,Q3,0.9
african journal of business ethics,Q4,0.4
african journal of disability,Q3,1.6
african journal of ecology,Q4,1.4
african journal of economic and management studies,Q2,2
african journal of emergency medicine,Q3,1.3
african journal of employee relations,Q4,0.1
african journal of health professions education,Q4,0.7
african journal of herpetology,Q3,0.8
african journal of information systems,Q4,0.7
african journal of international and comparative law,Q4,0.2
african journal of laboratory medicine,Q4,1.4
african journal of legal studies,Q3,0.4
african journal of library archives and information science,Q3,0.7
african journal of marine science,Q3,1.1
african journal of nursing and midwifery,Q4,0.6
african journal of primary health care family medicine,Q3,1.7
african journal of range forage science,Q3,1.6
african journal of reproductive health,Q4,1
african journal of research in mathematics science and technology education,Q3,1
african journal of rhetoric,,<0.1
african journal of science technology innovation development,Q2,1.6
african journal of urology,Q4,0.7
african journal of wildlife research,Q3,1.2
african journal on conflict resolution,Q3,0.6
african journalism studies,Q3,0.9
african review of economics and finance aref,Q4,0.2
african security,Q2,2.1
african security review,Q3,1.1
african studies,Q2,0.7
african studies review,Q2,0.9
african vision and eye health,Q4,0.8
african zoology,Q3,0.9
africana linguistica,Q4,<0.1
afrika focus,Q4,0.1
afrika matematika,Q2,0.8
afriques debats methodes et terrains d histoire,Q4,0.2
afterall,,0.2
agathos an international review of the humanities and social sciences,,0.1
age and ageing,Q1,7.4
age of human rights journal,Q3,0.5
ageing international,Q4,1.1
ageing research reviews,Q1,15.5
ageing society,Q2,2.2
agenda empowering women for gender equity,Q3,0.9
ager revista de estudios sobre despoblacion y desarrollo rural,Q3,0.7
aggregate,Q1,14.5
aggression and violent behavior,Q1,4.5
aggressive behavior,Q2,2.3
aging and disease,Q1,9.6
aging and health research,Q3,2.7
aging brain,Q2,2.8
aging cell,Q1,7.7
aging clinical and experimental research,Q2,4.7
aging male,Q2,3
aging medicine,Q3,3.1
aging medicine and healthcare,,N/A
aging mental health,Q2,2.9
aging neuropsychology and cognition,Q3,2
agora estudos classicos em debate,,0.1
agora papeles de filosofia,,0.1
agora para la educacion fisica y el deporte,Q4,0.3
agrarforschung schweiz,Q4,0.2
agrarian south journal of political economy,Q2,1.7
agrekon,Q2,2.1
agri the journal of the turkish society of algology,Q3,0.8
agribusiness,Q2,2.4
agricultura sociedad y desarrollo,Q4,0.4
agricultural and food economics,Q1,5.4
agricultural and food science,Q3,1
agricultural and forest entomology,Q2,1.7
agricultural and forest meteorology,Q1,6.6
agricultural and resource economics international scientific e journal,Q3,1.3
agricultural and resource economics review,Q2,2
agricultural economics,Q1,4.7
agricultural economics zemedelska ekonomika,Q2,1.6
agricultural engineering poland,Q2,2.6
agricultural environmental letters,Q2,3.3
agricultural finance review,Q3,1.6
agricultural history,Q1,0.8
agricultural history review,Q1,0.6
agricultural research,Q3,1.5
agricultural science and practice,Q4,0.2
agricultural systems,Q1,6.2
agricultural water management,Q1,7.8
agriculture and human values,Q1,4.3
agriculture basel,Q1,4.5
agriculture communications,Q1,11.9
agriculture ecosystems environment,Q1,7.7
agriculture food security,Q1,6.1
agriengineering,Q2,3.1
agris on line papers in economics and informatics,Q4,0.9
agritech,Q4,0.4
agrivita,Q4,0.5
agrociencia,Q4,0.5
agrociencia uruguay,Q4,0.8
agroecology and sustainable food systems,Q2,2.4
