Journal,分区
air quality atmosphere and health,4区
air soil and water research,4区
air space law,4区
aircraft engineering and aerospace technology,4区
aisthesis pratiche linguaggi e saperi dell estetico,4区
aitia regards sur la culture hellenistique au xxie siecle,4区
ajalooline ajakiri the estonian historical journal,4区
ajar african journal of aids research,4区
ajidd american journal on intellectual and developmental disabilities,4区
ajil unbound,3区
ajp reports,4区
ajs review the journal of the association for jewish studies,2区
ajsp reviews and reports,4区
akademika,4区
akce international journal of graphs and combinatorics,3区
akroterion journal for the classics in south africa,4区
aktualni gynekologie a porodnictvi,4区
aktualnosci neurologiczne,4区
aktuelle dermatologie,4区
aktuelle ernahrungsmedizin,4区
aktuelle kardiologie,4区
aktuelle rheumatologie,4区
aktuelle urologie,4区
akustika,4区
al arabiyya journal of the american association of teachers of arabic,4区
al bayan journal of quran and hadith studies,4区
al jamiah journal of islamic studies,3区
al masaq journal of the medieval mediterranean,2区
al qantara,4区
al shajarah,4区
alabe revista de investigacion sobre lectura y escritura,4区
alberta law review,4区
alcheringa,4区
alcohol,4区
alcohol and alcoholism,4区
alcohol clinical and experimental research,3区
alcohol research current reviews,2区
alcoholism treatment quarterly,4区
aldrichimica acta,4区
alea estudos neolatinos,4区
alea latin american journal of probability and mathematical statistics,4区
aleph historical studies in science judaism,3区
alergia astma immunologia,4区
alergologia polska polish journal of allergology,4区
alexandria engineering journal,2区
alexandria journal of medicine,4区
algae,2区
algal research biomass biofuels and bioproducts,2区
algebra and discrete mathematics,4区
algebra and logic,4区
algebra colloquium,4区
algebra number theory,2区
algebra universalis,3区
algebraic and geometric topology,3区
algebraic geometry,1区
algebras and representation theory,4区
algorithmic finance,4区
algorithmica,4区
algorithms,4区
algorithms for molecular biology,4区
alicante journal of english studies revista alicantina de estudios ingleses,3区
alimentary pharmacology therapeutics,1区
alkoholizm i narkomania alcoholism and drug addiction,4区
all azimuth a journal of foreign policy and peace,4区
all earth,4区
all life,4区
allergo journal,4区
allergologia et immunopathologia,4区
allergologie,4区
allergology international,2区
allergy,1区
allergy and asthma proceedings,3区
allergy asthma and clinical immunology,4区
allergy asthma immunology research,2区
allergy asthma respiratory disease,4区
allgemeine zeitschrift fur philosophie,4区
almatourism journal of tourism culture and territorial development,4区
aloma revista de psicologia ciencies de l educacio i de l esport,4区
alpha psychiatry,4区
alpha revista de artes letras y filosofia,4区
alpine botany,2区
alpine entomology,4区
alsic apprentissage des langues et systems d information et de communication,4区
alter european journal of disability research,4区
alteridad revista de educacion,4区
alternativas cuadernos de trabajo social,4区
alternative an international journal of indigenous peoples,3区
alternative law journal,4区
alternatives,3区
altex alternatives to animal experimentation,2区
altre modernita rivista di studi letterari e culturali,4区
alzheimer disease associated disorders,4区
alzheimer s dementia diagnosis assessment disease monitoring,3区
alzheimers dementia,1区
alzheimers dementia translational research clinical interventions,2区
alzheimers research therapy,1区
am journal of art and media studies,4区
ama agricultural mechanization in asia africa and latin america,4区
amazonia investiga,4区
amb express,2区
ambio,2区
ambitos revista de estudios de ciencias sociales y humanidades,4区
ambix,2区
ame case reports,4区
ameghiniana,4区
amerasia journal,4区
america latina hoy revista de ciencias sociales,4区
america sin nombre,4区
american annals of the deaf,4区
american anthropologist,1区
american antiquity,1区
american art,3区
american bankruptcy law journal,4区
american behavioral scientist,3区
american biology teacher,4区
american book review,4区
american british and canadian studies,4区
american business law journal,2区
american catholic philosophical quarterly,4区
american ceramic society bulletin,4区
american economic journal applied economics,1区
american economic journal economic policy,1区
american economic journal macroeconomics,1区
american economic journal microeconomics,2区
american economic review,1区
american economic review insights,1区
american educational research journal,1区
american ethnologist,1区
american family physician,3区
american fern journal,4区
american health and drug benefits,4区
american heart journal,2区
american heart journal plus cardiology research and practice,4区
american historical review,1区
american imago,4区
american indian and alaska native mental health research,3区
american indian culture and research journal,3区
american jewish history,3区
american journal of agricultural economics,2区
american journal of alzheimers disease and other dementias,4区
american journal of archaeology,2区
american journal of audiology,4区
american journal of bioethics,1区
american journal of biological anthropology,2区
american journal of botany,2区
american journal of business,4区
american journal of cancer research,3区
american journal of cardiology,3区
american journal of cardiovascular disease,4区
american journal of cardiovascular drugs,3区
american journal of case reports,4区
american journal of chinese medicine,2区
american journal of clinical and experimental immunology,4区
american journal of clinical and experimental urology,4区
american journal of clinical dermatology,1区
american journal of clinical hypnosis,4区
american journal of clinical nutrition,1区
american journal of clinical oncology cancer clinical trials,4区
american journal of clinical pathology,4区
american journal of community psychology,2区
american journal of comparative law,3区
american journal of criminal justice,3区
american journal of critical care,3区
american journal of cultural sociology,3区
american journal of dance therapy,4区
american journal of dentistry,4区
american journal of dermatopathology,4区
american journal of distance education,4区
american journal of drug and alcohol abuse,3区
american journal of economics and sociology,4区
american journal of education,2区
american journal of emergency medicine,3区
american journal of enology and viticulture,3区
american journal of epidemiology,2区
american journal of evaluation,4区
american journal of family therapy,4区
american journal of forensic medicine and pathology,4区
american journal of gastroenterology,1区
american journal of geriatric psychiatry,2区
american journal of health economics,2区
american journal of health education,4区
american journal of health promotion,4区
american journal of health system pharmacy,4区
american journal of hematology,1区
american journal of hospice palliative medicine,4区
american journal of human biology,4区
american journal of human genetics,1区
american journal of hypertension,3区
american journal of industrial medicine,3区
american journal of infection control,3区
american journal of international law,2区
american journal of kidney diseases,1区
american journal of law medicine,4区
american journal of legal history,3区
american journal of lifestyle medicine,4区
american journal of managed care,4区
american journal of mathematics,1区
american journal of medical genetics part a,3区
american journal of medical genetics part b neuropsychiatric genetics,4区
american journal of medical genetics part c seminars in medical genetics,3区
american journal of medical quality,4区
american journal of medicine,3区
american journal of mens health,4区
american journal of nephrology,2区
american journal of neuroradiology,2区
american journal of nuclear medicine and molecular imaging,4区
american journal of nursing,4区
american journal of obstetrics and gynecology,1区
american journal of obstetrics gynecology mfm,2区
american journal of occupational therapy,4区
american journal of ophthalmology,1区
american journal of orthodontics and dentofacial orthopedics,2区
american journal of orthopsychiatry,3区
american journal of otolaryngology,3区
american journal of pathology,2区
american journal of perinatology,4区
american journal of pharmaceutical education,3区
american journal of philology,2区
american journal of physical medicine rehabilitation,4区
american journal of physics,4区
american journal of physiology cell physiology,3区
american journal of physiology endocrinology and metabolism,2区
american journal of physiology gastrointestinal and liver physiology,3区
american journal of physiology heart and circulatory physiology,2区
american journal of physiology lung cellular and molecular physiology,3区
american journal of physiology regulatory integrative and comparative physiology,4区
american journal of physiology renal physiology,2区
american journal of play,4区
american journal of political science,1区
american journal of potato research,4区
american journal of preventive cardiology,2区
american journal of preventive medicine,2区
american journal of primatology,3区
american journal of psychiatry,1区
american journal of psychology,4区
american journal of psychotherapy,3区
american journal of public health,2区
american journal of reproductive immunology,4区
american journal of respiratory and critical care medicine,1区
american journal of respiratory cell and molecular biology,2区
american journal of rhinology allergy,3区
american journal of roentgenology,2区
american journal of science,4区
american journal of semiotics,4区
american journal of sexuality education,4区
american journal of sociology,1区
american journal of speech language pathology,3区
american journal of sports medicine,1区
american journal of stem cells,4区
american journal of surgery,3区
american journal of surgical pathology,1区
